INFO: 2019-02-15 01:40:33,294: iPhone8.2, iTunes[839], Started_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,294: iPhone8.2, iTunes[2025], Started_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,294: iPhone8.2, iTunes[972], Started_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,294: iPhone8.2, iTunes[3502], Started_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[1586], Requested_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[3729], Requested_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[1632], Requested_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[1320], Requested_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[2598], Uploaded_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[2626], Uploaded_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[3402], Uploaded_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,295: iPhone8.2, iTunes[2102], Uploaded_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,295: AppleTV5.3, iTunes[3943], Started_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,295: AppleTV5.3, iTunes[2915], Started_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,295: AppleTV5.3, iTunes[3545], Started_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[707], Started_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[404], Requested_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[2387], Requested_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[3943], Requested_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[1441], Requested_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[3451], Uploaded_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[918], Uploaded_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[978], Uploaded_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,296: AppleTV5.3, iTunes[442], Uploaded_Movie:The Blue Lagoon, NC-17
INFO: 2019-02-15 01:40:33,296: iPad8.5, iTunes[80], Started_Movie:A Fish Called Wanda, R
INFO: 2019-02-15 01:40:33,296: iPad8.5, iTunes[3093], Started_Movie:Working 9 to 5, PG
INFO: 2019-02-15 01:40:33,296: iPad8.5, iTunes[946], Started_Movie:Better Pancakes, G
INFO: 2019-02-15 01:40:33,296: iPad8.5, iTunes[2550], Started_Movie:The Blue Lagoon, NC-17
