URL;result
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""vsVrBGkBClefxTWSvang"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":29,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""v8VrBGkBClefxTWSwama"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":26,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""wMVrBGkBClefxTWSw6kh"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":28,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""wcVrBGkBClefxTWSxamy"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":27,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""wsVrBGkBClefxTWSx6kK"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":29,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""w8VrBGkBClefxTWSyak2"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":30,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""xMVrBGkBClefxTWSyqlk"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":30,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""xcVrBGkBClefxTWS0an3"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":31,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""xsVrBGkBClefxTWS1Knd"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":32,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""x8VrBGkBClefxTWS1qm8"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":28,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""yMVrBGkBClefxTWS2Kny"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":23,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""ycVrBGkBClefxTWS2qnC"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":33,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""ysVrBGkBClefxTWS3Kkn"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":34,""_primary_term"":1}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/events/events                                                                                                     ;"{""_index"":""events"",""_type"":""events"",""_id"":""y8VrBGkBClefxTWS3am5"",""_version"":1,""result"":""created"",""_shards"":{""total"":2,""successful"":1,""failed"":0},""_seq_no"":24,""_primary_term"":1}"
