INFO: 2019-02-15 01:39:03,414: iPhone8.2, iTunes[2958], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[92], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[742], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[2501], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[709], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[2157], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[2642], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[1139], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[2277], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,415: iPhone8.2, iTunes[3153], Requested_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,415: AppleTV5.3, iTunes[1373], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,415: AppleTV5.3, iTunes[2467], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,415: AppleTV5.3, iTunes[3090], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,415: AppleTV5.3, iTunes[1718], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[1802], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[1429], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[3354], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[1621], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[3506], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,416: AppleTV5.3, iTunes[3919], Requested_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[423], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[3374], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[2262], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[1992], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[164], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[2527], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[100], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[2156], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[2278], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,416: iPad8.5, iTunes[1600], Requested_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,416: iPad5.1, iTunes[1389], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,416: iPad5.1, iTunes[2691], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,416: iPad5.1, iTunes[320], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,416: iPad5.1, iTunes[1883], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[3211], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[2274], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[3636], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[2953], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[2606], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,417: iPad5.1, iTunes[2748], Requested_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[2352], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[3082], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[3311], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[87], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[3283], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[1414], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[3100], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[927], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[327], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,417: iPhone11.8-Marge, iTunes[3671], Requested_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,417: iPhone8.2, iTunes[3498], Started_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone8.2, iTunes[3170], Started_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,417: iPhone8.2, iTunes[2212], Started_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,417: iPhone8.2, iTunes[1844], Started_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[969], Started_PodCast:Careers in Politics, Clean
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[1001], Requested_PodCast:How to Hypnotize Your Parents, Explicit
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[2206], Requested_PodCast:How to Succeed with Kumon, Clean
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[1495], Requested_PodCast:Retirement Plans for Nuclear Engineers, Explicit
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[3034], Requested_PodCast:How I Built This, Clean
INFO: 2019-02-15 01:39:03,418: iPhone8.2, iTunes[1881], Requested_PodCast:Careers in Politics, Clean
