URL;result
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""I will only download and watch movies with the following ratings""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""I will only download or listen to music/podcast with the following ratings""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""I will only download applications approved for the following age""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""I will only download or read books with the following rating(s)""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""i will only use my device within the timeframes programmed in my user profile""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""sabeall"",""question"":""I will only use my device within the timeframes  programmed in my user profile""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""peusebio"",""question"":""I will only download and watch movies with the following ratings""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""peusebio"",""question"":""I will only download or listen to music/podcast with the following ratings""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""peusebio"",""question"":""I will only download applications approved for the following age""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""peusebio"",""question"":""I will only download or read books with the following rating(s)""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""peusebio"",""question"":""i will only use my device within the timeframes programmed in my user profile""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""djohnson"",""question"":""I will only download and watch movies with the following ratings""}"
https://search-toiltrouble2-mg4ycgvgucahib4lulughlocci.us-east-1.es.amazonaws.com:443/qa/qa                                                                                                             ;"{""userid"":""djohnson"",""question"":""i will only use my device within the timeframes programmed in my user profile""}"
